,org_sent,processed_sent
116,"), poor communication between staff, Dirty room (bring sanitizing wipes if you choose to stay), reserved Fridge never came after promised.",poor communication staff dirty room bring sanitize wipe choose stay reserved fridge never come promise .
117,Bellmen watched from lobby as we carried luggage in heavy downpours.,bellman watch lobby carry luggage heavy downpour .
118,The elevator system is ridiculous.,elevator system ridiculous .
119,The room so small and bathroom had mold in the shower.,room small bathroom mold shower .
120,The security does nothing to help.,security nothing help .
121,I got charged more money on check out,get charge money check
122,Small closet size rooms,small closet size room
123,Stayed in a small room w a king sized bed.,stay small room w king sized bed .
124,The room was super hot all the time.,room super hot time .
125,Night stand and closet were stained w some type of gel or liquid that wasn’t cleaned off.,night stand closet stain w type gel liquid clean .
126,Walls are super thin so you can hear pretty much everything.,wall super thin hear pretty much everything .
127,Room didn’t come w a microwave or mini fridge.,room come w microwave mini fridge .
128,Resort fee.,resort fee .
129,Elevators constantly dirty.,elevator constantly dirty .
130,"Room smelled musty, found hair in tub, rusty hole on bathroom door frame.",room smell musty find hair tub rusty hole bathroom door frame .
131, no type of air freshner used.,type air freshner use .
132,The best thing was the City Kitchen and candy shop restaurants at the hotel.,good thing city kitchen candy shop restaurant hotel .
133, the fire alarm went off for no reason and I waited over 30 minutes for security to come turn it off.,fire alarm go reason wait minute security come turn .
134,Conveniently located.,conveniently locate .
135,"Friendly, courteous, helpful staff.",friendly courteous helpful staff .
136,Actually had a woman who was vacuuming help us with the computers when we were struggling to print our airline boarding passes.,actually woman vacuum help computer struggle print airline boarding pass .
137,She saw us trying to figure it out and turned off the vacuum and came and helped us out.,see try figure turn vacuum come help .
138,It was around 8 a.m. on Oct 31st.,around a.m. oct
139,Comfortable beds.,comfortable bed .
140,"Clean room, comfortable beds, quiet room, and we were on the street side.",clean room comfortable bed quiet room street side .
141,"Location, location, location !!!",location location location
142,A very busy hotel when we were there and we were still happy with our stay.,busy hotel still happy stay .
143,Hotel was great.,hotel great .
144,Room was clean all we needed.,room clean need .
145,I mean really liked it.,mean really like .
146,Great for location.,great location .
147,A few minutes away from Time Square and the Bagel shop you must try: search for Pick a Bagel.,minute away time square bagel shop must try search pick bagel .
