,org_sent,processed_sent
238,I had a very loud neighbor that talked until 2 - 3 in the morning.,loud neighbor talk morning .
239,"Hoping that they would settle down, that did not happen.",hope would settle happen .
240,I did contact security and they did handle it- within 30 - 40 minute window,contact security handle within minute window
241,Rooms were clean.,room clean .
242,Close to all activities in the area including restaurants.,close activity area include restaurant .
243,The only thing we did not expect was a total of $89.00 facility fee which I was not told about before booking.,thing expect total facility fee tell booking .
244,Great location and comfortable beds,great location comfortable bed
245,Hotel is in a great location,hotel great location
246,It was also very clean.,also clean .
247,I loved that the hotel was close to everything.,love hotel close everything .
248,Check in was easy and painless.,check easy painless .
249, otherwise farely clean.,otherwise farely clean .
250,The bathroom mirror could use some fixing the silver mirror like base was coming off and you could see a brown based glue that was used to seal it together.,bathroom mirror could use fix silver mirror like base come could see brown base glue use seal together .
251,Bathroom could have been a little cleaner.,bathroom could little clean .
252,The location was perfect for us.,location perfect .
253,The hotel was near everywhere we wanted to go.,hotel near everywhere want go .
254,Easy check-in process,easy checkin process
255,"was clean, nice looking, convenient, inexpensive, easy transition for check in and check in of bags.",clean nice look convenient inexpensive easy transition check check bag .
256,Only negative I would have to say is the hallway is a little tight.,negative would say hallway little tight .
257,We had a 2 bed bit for 4 people we would have preferred a little more room.,bed bit people would prefer little room .
258,We were supposed to have a city view room!,suppose city view
259,Location - close to all NYC has to offfer,location close nyc offer
260,Access to Time Square and City Kitche,access time square city kitche
261,There's a bar in the hotel and city kitchen is connected to the hotel.,bar hotel city kitchen connect hotel .
262,Great location and hotel room very clean,great location hotel room clean
263,"In the theater district, walking distance to Radio City, Time Square and Rockefeller Center.",theater district walk distance radio city time square rockefeller center .
264,Plus subway 1 block away to get to anywhere else you wanted to go.,plus subway block away get anywhere else want go .
265,The location & ambience - hip and dynamic!,location ambience hip
266,comfortable and room had good storage space for clothes and accessories,comfortable room good storage space clothe accessory
267,:) I can not say enough about how wonderful this hotel is!,emo_pos say enough wonderful hotel
268,Living on Long Island I never HAVE to stay in NYC ,live long island never stay nyc
269,This will ALWAYS be my hotel choice and I suggest you try it out!,always hotel choice suggest try
270,right near theater district and restaurants,right near theater district restaurant
271,We had two beds.,two bed .
272,felt brand new in a great location,feel brand new great location
273,"Location, lobby ammenities",location lobby ammenitie
274,location is great for the broadway shows,location great broadway show
275,"the view form the room was nice, everything else was pretty subpar.",view form room nice everything else pretty subpar .
276,and there were stains all over the bathtub which was fairly gross.,stain bathtub fairly gross .
277,Our room was ready upon check in and every clean.,room ready upon check every clean .
278,"the hotel is on a great spot, the lobby is cool ",hotel great spot lobby cool
279,"the bed is very low to the floor, the tub was filthy and housekeeping will keep you up all morning being very loud.",bed low floor tub filthy housekeeping keep morning loud .
280,Friendly check in staff.,friendly check staff .
281,Decent sized rooms with all the basics.,decent sized room basic .
282,"Location, location, location.",location location location .
283,"The hotel associate, Reina, was very nice and helpful: my mom and I were able to get into the room earlier and that really made our trip more enjoyable and smooth.",hotel associate reina nice helpful mom able get room earlier really make trip enjoyable smooth .
284,I can't say enough about it.,say enough .
285,"Second time here,and already have a reservation for January.",second time already reservation january .
286,Love the way they updated an older building.,love way update old building .
287,"Check in was easy, room was nice with view if several Broadway theaters.",check easy room nice view several broadway theater .
288,Will definitely stay there again.,definitely stay .
289,Loved how it was so close to everything in the city!,love close everything
290,Was very pleased with the hotel and the convenience of location,pleased hotel convenience location
291,Would stay there again particularly for that price!,would stay particularly
292,"rot problems with molding just covered in paint), ",rot problem molding cover paint
293, it didn't really bother us.,really bother .
294,I can just foresee these flaws coming up as bigger problems down the road because they were simply ignored.,foresee flaw come big problem road simply ignore .
295,"Very Nice, Smells Great and Looks Clean",nice smell great look clean
296,Rooms were super small ,room super small
297,"I really thought that it was wonderful, the rooms were a little small ",really think wonderful room little small
298, everything was really nice.,everything really nice .
299,please fix the AC in the hallways!,please fix ac
300,We really enjoyed our stay at The Milford.,really enjoy stay milford .
301,The only thing I didn't like was how small the rooms were ,thing like small room
302,"Although the rooms were small, we found we had everything we need and all the decor and fixtures were new, modern, and very much appreciated.",although room small find everything need decor fixture new modern much appreciate .
303,"We particularly liked the large TV, although allowing it to tilt or turn a bit would help that small room out a lot.",particularly like large tv although allow tilt turn bit would help small room lot .
304,The updating was done with excellent taste and made us feel very comfortable.,updating excellent taste make feel comfortable .
305,We would suggest a little more sound proofing as we were awoken by sounds in the hall a few times.,would suggest little sound proofing awake sound hall time .
306,We would recommend this hotel to those who want a fantastic location and all the modern comforts of a hotel ,would recommend hotel want fantastic location modern comfort hotel
307,When I was staying at the Milford hotel there was construction going on which was fine because where my room was it was very quiet.,stay milford hotel construction go fine room quiet .
308,I do have one complaint though.,one complaint though .
309,Every time I called the front desk there was no answer.. Every time!,every time call front desk answer every
310,It was very annoying after the first 10 times so I walked down to the front desk and when I asked why there was no answer the girl told me it was because they were busy which was funny to me because there was no one at the desk ,annoying first time walk front desk ask answer girl tell busy funny one desk
311, other than that I did enjoy the room and the theme.,enjoy room theme .
312,Would be nice if you offered some smoking rooms,would nice offer smoking room
313,Horrible customer service,horrible customer service
314,At 10am they had a fire drill woke us up !,fire drill wake
315,Please cancel my reservation,please cancel reservation
316,Say there going too fix situation room was so hot and sent worker up too fix 1AM was in and out for hour and work up 7AM was so hot wasn't funny!!!,say go fix situation room hot send worker fix hour work hot
317,Been there 4 or 5 times and would sleep in my car before ever staying there again..!,time would sleep car ever stay
318,"Becareful if booking when you checkout because they charged for hotel fee, parking, ",becareful book checkout charge hotel fee parking
319,Over last year manager has changed everytime checking in.,last year manager change everytime check .
320,Another party was complaining during checkout that room was dirty and had used condoms in drawer!!!,another party complain checkout room dirty use condom
321,The room was so cold and heater was not working.,room cold heater work .
322,"After a guy fixed it, it made noisy sound throughout the night.",guy fix make noisy sound throughout night .
323, the staff was extremely rude when we called for a late check out!,staff extremely rude call late check
324,She simple screamed NO and hung up.,simple scream hang .
325,It's a Monday how come we can't stay till 3?,monday come stay till
326,Check in is not till 4 and our flights not till tonight.,check till flight till tonight .
327,Nope they would not accommodate this.,nope would accommodate .
328,"Won't stay here again Oh yea an the resort fee is upwards $50, not worth it",stay oh yea resort fee upwards worth
329,I arrived in the evening time and the guy standing outside watching me take all of my bags out of my car including one that was completely ripped and he watch me walk all the way upstairs with them instead of offering me help.,arrive evening time guy stand outside watch take bag car include one completely rip watch walk way upstairs instead offer help .
330,While I was checking out one of your hallway service people ask my wife if she was homeless.,check one hallway service people ask wife homeless .
331,Some people just need to be better about people skills.,people need well people skill .
332,"Noticed our toilet making a loud noise hours after we had used it and a few minutes later there was sewage in our bath tub, so, needless to say we did not take a shower.",notice toilet make loud noise hour use minute later sewage bath tub needless say take shower .
333,"The room also, was not cleaned well and their was dust and dirt everywhere.",room also clean well dust dirt everywhere .
334,The rooms are also the smallest hotel rooms I have ever seen and finding your room is a feat.,room also small hotel room ever see find room feat .
335,"Very dirty, lobby, rooms, furnature was old and worn.Elevator was suppose to be being checked and would be down 5 mins.",dirty lobby room furnature old worn.elevator suppose check would min .
336,"thirty minutes later it was still down, we had to ride a service elevator that stopped at every floor.",thirty minute later still ride service elevator stop every floor .
337,This made us miss the first thirty minutes of show.,make miss first thirty minute show .
338,"By the time we arrived on the lobby floor from service elevator, my make up was running off my face, and our clothes was wet!",time arrive lobby floor service elevator make run face clothe
339,"This hotel is worst than a one star hotel, rooms are very small, behind the bed and night stand was very dirty, bathroom is very outdated, plus they changed you 30 dollars + tax per day for wifi and phone use, mandatory, I will never use this hotel again, Luis Portal",hotel bad one star hotel room small behind bed night stand dirty bathroom outdated plus change dollar tax per day wifi phone use mandatory never use hotel lui portal
340,The housekeeper kept harassing us since 9 am trying to rush rooms cleaned when check out us at 12 !,housekeeper keep harass since try rush room clean check
341,"Knocking on the door at 9 Am after I just told her I'm leaving at check out time , then giving me attitude pointing at her watch like hurry up ..never again ..",knock door tell leave check time give attitude point watch like hurry never
342,I paid just as much money as the next guest !,pay much money next guest
343,Groupon is a rip-off and this hotel is absolutely horrible!!!!,groupon ripoff hotel absolutely
344,They put me in the wrong room and when they tried to give me another room for the inconvenience there was someone already staying there.,put wrong room try give another room inconvenience someone already stay .
345,They blamed Groupon for sending the wrong room information ,blame groupon send wrong room information
346, l never experienced a hotel more disorganized than this.,l never experience hotel disorganized .
347,The room was tiny with a small little window facing an old dirty generator.,room tiny small little window face old dirty generator .
348,The room smacked us in the face with the smell of mildew.,room smack face smell mildew .
349,There minimalist style was taken a little far when my husband and I were given 1 towel to wash with and a TV w/ no remote.,minimalist style take little far husband give towel wash tv remote .
350,I figure they felt the room was so small we could change the channel from our bed.,figure feel room small could change channel bed .
351,The room was exceedingly small.,room exceedingly small .
352,The bed was in an awkward position that makes it impossible for the second person to get up without rolling on top of the first person or risk walking into the TV.,bed awkward position make impossible second person get without roll top first person risk walk tv .
353,I never took my shoes off except to bathe.,never take shoe except bathe .
354,Fortunately it was only 1 night.,fortunately night .
355,Would absolutely never recommend it.,would absolutely never recommend .
356,We ended up with 4 people and 2 twin beds.,end people twin bed .
357,"The hotel had my reservation under my email so around 11:30pm, the hotel decided they needed to dispatch security who was beating on my door demanding my name and refused to show any ID.",hotel reservation email around hotel decide need dispatch security beat door demand name refuse show would .
358,They later called up until 1am for my credit card info again.,later call credit card info .
359,Room was ridiculously small.,room ridiculously small .
360,To top it all off I was not refunded any money paid for the deluxe room .,top refund money pay deluxe room
361,"Over priced, hidden fees, small rooms, mediocre staff.",price hidden fee small room mediocre staff .
362,"the rooms look as though they were cut in half, 4 elevators were not working had to wait over 20mins to get on an elevator, also were not able to check in until 4:00pm and were asked to check out at 12:00pm losing approximately 4hrs.",room look though cut half elevator work wait get elevator also able check ask check lose approximately
363,"Bad experience Groupon according to the hotel over sold there allotted block of rooms causing my room to be downgraded and me and my fiancé having to sleep in separate twin beds, I paid for a deluxe room with a city view and what I received was a room in the back of nowhere with 2 twin beds ruined our weekend",bad experience groupon accord hotel sell allot block room cause room downgrade sleep separate twin bed pay deluxe room city view receive room back nowhere twin bed ruin weekend
364,i actually love the hotel ,actually love hotel
365, on this trip we got there and were told they were booked and i couldnt stay there meanwhile i made these reservation over three months ago.,trip get tell book could stay meanwhile make reservation three month ago .
366,When I arrived at the hotel after parking my vehicle the hotel informed me that they were overbooked and I did not have a room there.,arrive hotel park vehicle hotel inform overbooked room .
367,They informed me I was being relocated to the Stewart Hotel.,inform relocate stewart hotel .
368,"This hotel was 10 block away, I had to walk with my luggage to the new location.",hotel block away walk luggage new location .
369,While the Stewart Hotel was nice this was not in the area I wanted to stay.,stewart hotel nice area want stay .
370,I would not have booked this trip if I knew I was being relocated to a different hotel.,would book trip know relocate different hotel .
371,"ROW NYC also should have informed me prior to my arrival that they were over booked, they also offered nothing for this inconvenience.",row nyc also inform prior arrival book also offer nothing inconvenience .
372,I'd love to be able to review this ,would love able review
373,"After a 6 hr flight to get here, we were sent packing to another hotel.",hr flight get send pack another hotel .
374,Our friends did stay her (which split up our party).,friend stay split
375,It was one of the worst days of my entire life never have I felt so comfortable in the lobby know for over two hours everything was out-of-control they gave me a double bed instead of a queen size bed everything is well no one could follow instructions,one bad day entire life never feel comfortable lobby know two hour everything outofcontrol give double bed instead queen size bed everything well one could follow instruction
376,It was the worst day of my entire life never ever what I ask anyone or tell anybody over for anybody to this hotel they had me in the hallway for over two hours,bad day entire life never ever ask anyone tell anybody anybody hotel hallway two hour
377,It was very dirty and poorly maintained.,dirty poorly maintain .
378,There was dry paint all over the room.,dry paint room .
379,The corners of the room were not clean and the bathroom window had mold all over it.,corner room clean bathroom window mold .
380,Also the common areas weren't that great either.,also common area great either .
381,Rude staff To hot in room no control over heat,rude staff hot room control heat
382,I paid for a queen and received a full and group on says too bad.,pay queen receive full group say bad .
383,BEWARE AND USE PRICELINE.,beware use priceline .
384,We were very disappointed with both the service & the room here.,disappointed service room .
385,"We arrived early, at 9 am, so the receptionist told us that we would receive an email when our room was ready.",arrive early receptionist tell would receive email room ready .
386,"After finally getting into our room, it was nothing as described, dirty, moldy and much smaller than it appeared in pictures.",finally get room nothing describe dirty moldy much small appear picture .
387,"Room was very small, not overly clean,outdated and loud",room small overly loud
388,Very busy lobby Room could use some dusting Small room Good location & nice little food court next to it,busy lobby room could use dust small room good location nice little food court next
389,The only advantage of this hotel is the location..,advantage hotel location
390,"The room was small, dirty and the so called city view was just not existed!!",room small dirty call city view
391,"Furthermore, the window didn't close how it should be so it was very loud during the whole night!",furthermore window close loud whole
392,I was convinced by my friend who I was traveling with to book this place and I ended up regretting it.,convince friend travel book place end regret .
393,I recommend booking a room further out from Times Square.,recommend book room time square .
394,Found roaches in the room.,find roach room .
395,Much better places to stay around Times Square at the same price or better.,much well place stay around time square price well .
396,Tiny overpriced room,tiny overpriced room
397,It was hot and musty in the hallways,hot musty hallway
